product_title,product_variant_title,quantity_sold
Back2School,Letters Little Bow,0
Back2School,Crayon Little Bow,0
Back2School,Crayon Big Bow,0
Back2School,Letters Big Bow,0
Baseball Leopard,Big Bow / Black Nylon,0
Baseball Leopard,Big Bow / Nude Nylon,0
Baseball Leopard,Big Bow / Clip,0
Baseball Leopard,Little Bow / Black Nylon,0
Baseball Leopard,Little Bow / Nude Nylon,0
Baseball Leopard,Little Bow / Clip,0
Baseball Leopard,Mini Bow / Clip,0
Basic,Big,0
Basic,Little,0
Basic Witch,Little,0
Basketballs,Little Bow,3
Basketballs,Big Bow,5
Batman Mask,Little Bow,1
Batman Mask,Big Bow,1
Be Kind,Mini,0
Be Kind,Little,0
Be Kind,Big,0
Bear Cub,Little,0
Bear Cub,Big,0
Beat em' Hawks,Piggie Set (2 Mini Bows),0
Beat em' Hawks,Topknot,1
Beat em' Hawks,Little Bow,0
Beat em' Hawks,Mini Bow,0
Beat em' Hawks,Headwrap,1
Beat em' Hawks,Big Bow,0
Bedazzled MM,Big Bow,0
Bee Bumble & Bee Kind,Big Bow,1
Bee Kind Words,Little Bow,2
Bee Kind Words,Big Bow,4
Bee Kind Words,Piggie Set (2 Mini Bows),2
Beetle Juice Pumpkins,Big,0
Big Bow Mystery Grab Bag,Nude Nylon,1
Big Bow Mystery Grab Bag,Black Nylon,0
Big Bow Mystery Grab Bag,Clip,1
Black,Big Bow,9
Black,Little Bow,7
Black,Piggie Set (2 Mini Bows),1
Black & Pink Leopard,Little Bow,2
Black & Pink Leopard,Piggie Set (2 Mini Bows),1
Black & White Buffalo Plaid ,Little Bow,0
Black & White Buffalo Plaid ,Piggie Set (2 Mini Bows),0
Black & White Buffalo Plaid ,Big Bow,0
Black & White Fall Flannel,Big Bow,1
Black & White Fall Flannel,Little Bow,2
Black & White Fall Flannel,Headwrap,5
Black Aztec,Big Bow,0
Black Aztec,Little,0
Black Aztec,Big,0
Black Bear,Little Bow,2
Black Bear,Headwrap,1
Black Flannel ,Big Bow,1
Black Flannel ,Little Bow,0
Black Neon Leopard,Little Bow / Clip,0
Black Neon Leopard,Big Bow / Nude Nylon,0
Black Neon Leopard,Big Bow / Black Nylon,0
Black Neon Leopard,Little Bow / Black Nylon,0
Black Neon Leopard,Little Bow / Nude Nylon,0
Black Neon Leopard,Mini Bow / Clip,0
Black Neon Leopard,Big Bow / Clip,0
Black Plaid,Mini Bow,0
Black Plaid,Piggie Set (2 Mini Bows),0
Black Plaid,Big Bow,0
Black Plaid,Little Bow,0
Black Plaid,Headwrap,0
Black Pleather,Headwrap,3
Black Pleather,Little Bow,4
Black Pleather,Mini Bow,1
Black Pleather,Piggie Set (2 mini Bows),3
Black Pleather,Big Bow,3
Black Pleather ,Little Bow,0
Black Pleather ,Big Bow,0
Black Sunflower,Mini Bow,0
Black Sunflower,Little Bow,0
Black Sunflower,Piggie Set (2 Mini Bows),0
Black Sunflower,Headwrap,0
Black Sunflower,Big Bow,0
Black Tribal Arrow,Little Bow,6
Black Tribal Arrow,Mini Bow,1
Black Tribal Arrow,Headwrap,4
Black Tribal Arrow,Piggie Set (2 mini Bows),3
Black Tribal Arrow,Big Bow,2
Blue Brush Strokes,Big,0
Blue Brush Strokes,Little,0
Blue Butterfly ,Big Bow / Nude Nylon,0
Blue Butterfly ,Mini Bow / Nude Nylon,0
Blue Butterfly ,Little Bow / Black Nylon,0
Blue Butterfly ,Little Bow / Nude Nylon,0
Blue Butterfly ,Mini Bow / Black Nylon,0
Blue Butterfly ,Little Bow / Clip,0
Blue Butterfly ,Mini Bow / Clip,0
Blue Butterfly ,Big Bow / Clip,0
Blue Gray,Little Bow,5
Blue Gray,Big Bow,1
Blue Leopard Aztec,Little Bow / Nude Nylon,0
Blue Leopard Aztec,Big Bow / Nude Nylon,0
Blue Leopard Aztec,Big Bow / Clip,0
Blue Paisley,Little,0
Blue Paisley,Big,0
Blue Stone,Little Bow / Nude Nylon,0
Blue Stone,Big Bow / Nude Nylon,0
Blue Sunflower Leopard ,Little Bow / Clip,0
Blue Sunflower Leopard ,Big Bow / Nude Nylon,0
Blue Watercolor,Little Bow,0
Blue Watercolor,Mini Bow,0
Blue Watercolor,Big Bow,0
Blush Pink,Headwrap,2
Blush Pink,Little Bow,1
BoHo Arrow,Mini,0
BoHo Arrow,Big,0
BoHo Arrow,Little,0
Boho Bundle,Big Bow BUNDLE,0
Boho Bundle,Piggie Set BUNDLE,0
Boho Floral Skull Head,Headwrap,4
Boho Floral Skull Head,Big Bow,1
Bow-Tie Listing,Default Title,1
Brown Cow,Little Bow,0
Brown Leopard,Mini,0
Brown Leopard,Big,0
Brown Leopard,Little,0
Buddy,Piggie Set (2 Mini Bows),1
Buddy,Little Bow,1
Buddy,Mini Bow,1
Buddy,Big Bow,0
Buffalo Christmas Stripes,Little Bow,0
Buffalo Christmas Stripes,Big Bow,0
Buffalo Leopard Plaid ,Big Bow,0
Buffalo Leopard Plaid ,Piggie Set (2 Mini Bows),0
Buffalo Leopard Plaid ,Little Bow,0
Buffalo Plaid Topknot ,Baby,0
Buffalo Plaid Topknot ,Kid,0
Buffalo Plaid Topknot ,Toddler,0
Buffalo Plaid Turkeys,Little Bow,0
Buffalo Plaid Turkeys,Big Bow,0
Bumble Bee,Big,1
Bumble Bee,Piggies (2 Mini Bows),0
Bumble Bee,Little,2
Burgundy ,Headwrap,1
Burgundy ,Piggie Set (2 Mini Bows),1
Burgundy ,Big Bow,1
Burgundy ,Little Bow,1
Burgundy Pleather,Piggie Set (2 mini Bows),2
Burgundy Pleather,Big Bow,2
Burgundy Pleather,Headwrap,1
Burgundy Pleather,Mini Bow,1
Burgundy Winter Floral,Headwrap,2
Burgundy Winter Floral,Little Bow,6
Burgundy Winter Floral,Big Bow,3
Burnt Floral,Little,0
Burnt Floral,Big,0
Burnt Orange Plaid,Big Bow,0
Burnt Orange Plaid,Little Bow,0
Burnt Orange Plaid,Piggie Set,0
Butter Yellow,Mini Bow,1
CACTUS CHRISTMAS,PIGGIE SET (2 MINI BOWS),0
CACTUS CHRISTMAS,BIG BOW,0
CACTUS CHRISTMAS,LITTLE BOW,0
CAMO topknot,Toddler,0
CAMO topknot,Kid/Mommy,0
CAMO topknot,Baby,0
CANDY CANES,PIGGIE SET (2 MINI BOWS),0
CANDY CANES,LITTLE BOW,0
CANDY CANES,BIG BOW,0
CHARLIE BROWN CHRISTMAS,PIGGIE SET (2 MINI BOWS),0
CHARLIE BROWN CHRISTMAS,BIG BOW,0
CHARLIE BROWN CHRISTMAS,LITTLE BOW,0
CHEETAH PRINT,Little,0
CHEETAH PRINT,Headwrap,1
CHEETAH PRINT,Big,0
CHIEFS BRUSH STROKES,Mini Bow,0
CHIEFS BRUSH STROKES,Little Bow,1
CHIEFS BRUSH STROKES,Topknot,0
CHIEFS BRUSH STROKES,Big Bow,1
CHIEFS BRUSH STROKES,Heapwrap,1
CHIEFS BRUSH STROKES,Piggie Set (2 Mini Bows),0
CHRISTMAS EMERALD SPARKLE,BIG BOW,0
CHRISTMAS EMERALD SPARKLE,LITTLE BOW,0
CHRISTMAS EMERALD SPARKLE,PIGGIE SET (2 MINI BOWS),0
CHRISTMAS FLORAL,LITTLE BOW,0
CHRISTMAS FLORAL,PIGGIE SET (2 MINI BOWS),0
CHRISTMAS FLORAL,BIG BOW,0
CHRISTMAS GLITTER BRUSH STROKES,LITTLE BOW,0
CHRISTMAS GLITTER BRUSH STROKES,PIGGIE SET (2 MINI BOWS),0
CHRISTMAS GLITTER BRUSH STROKES,BIG BOW,0
CHRISTMAS GLITTER STRIPES,PIGGIE SET (2 MINI BOWS),0
CHRISTMAS GLITTER STRIPES,BIG BOW,0
CHRISTMAS GLITTER STRIPES,LITTLE BOW,0
CHRISTMAS GOLD SPARKLE,PIGGIE SET (2 MINI BOWS),0
CHRISTMAS GOLD SPARKLE,LITTLE BOW,0
CHRISTMAS GOLD SPARKLE,BIG BOW,0
CHRISTMAS LEOPARD BRUSH STOKES,BIG BOW,0
CHRISTMAS LEOPARD BRUSH STOKES,LITTLE BOW,0
CHRISTMAS LEOPARD BRUSH STOKES,PIGGIE SET (2 MINI BOWS),0
CHRISTMAS MOVIES,LITTLE BOW,0
CHRISTMAS MOVIES,BIG BOW,0
CHRISTMAS MYSTERY Big BAG,Nude nylon,3
CHRISTMAS MYSTERY Big BAG,Clip,2
CHRISTMAS MYSTERY Big BAG,Black nylon,2
CHRISTMAS MYSTERY LITTLE BAG,Nude nylon,1
CHRISTMAS MYSTERY LITTLE BAG,Black nylon,0
CHRISTMAS MYSTERY LITTLE BAG,Clip,5
CHRISTMAS MYSTERY MINI BAG,Nude nylon,2
CHRISTMAS MYSTERY PIGGIE SET,Default Title,2
CHRISTMAS PLAID 1,LITTLE BOW,0
CHRISTMAS PLAID 1,BIG BOW,0
CHRISTMAS PLAID 1,PIGGIE SET (2 MINI BOWS),0
CHRISTMAS PLAID 2,LITTLE BOW,0
CHRISTMAS PLAID 2,BIG BOW,0
CHRISTMAS PLAID 4,LITTLE BOW,0
CHRISTMAS PLAID 4,BIG BOW,0
CHRISTMAS PLAID 5,LITTLE BOW,0
CHRISTMAS PLAID TOPKNOT,Baby,0
CHRISTMAS PLAID TOPKNOT,Toddler,0
CHRISTMAS PLAID TOPKNOT,Kid/Adult,0
CHRISTMAS QUILT,LITTLE BOW,0
CHRISTMAS QUILT,BIG BOW,0
CHRISTMAS QUILT,PIGGIE SET (2 MINI BOWS),0
CHRISTMAS RED SPARKLE,PIGGIE SET (2 MINI BOWS),0
CHRISTMAS RED SPARKLE,LITTLE BOW,0
CHRISTMAS RED SPARKLE,BIG BOW,0
CHRISTMAS SOLIDS,BLACK / BIG BOW,0
CHRISTMAS SOLIDS,DEEP RED / LITTLE BOW,0
CHRISTMAS SOLIDS,KELLY / LITTLE BOW,0
CHRISTMAS SOLIDS,SANTA SUIT RED / PIGGIE SET (2 MINI BOWS),0
CHRISTMAS SOLIDS,ICICLE BLUE / BIG BOW,0
CHRISTMAS SOLIDS,BLACK / PIGGIE SET (2 MINI BOWS),0
CHRISTMAS SOLIDS,WHITE / PIGGIE SET (2 MINI BOWS),0
CHRISTMAS SOLIDS,SANTA SUIT RED / BIG BOW,0
CHRISTMAS SOLIDS,KELLY / PIGGIE SET (2 MINI BOWS),0
CHRISTMAS SOLIDS,WHITE / LITTLE BOW,0
CHRISTMAS SOLIDS,HUNTER / BIG BOW,0
CHRISTMAS SOLIDS,HUNTER / PIGGIE SET (2 MINI BOWS),0
CHRISTMAS SOLIDS,KELLY / BIG BOW,0
CHRISTMAS SOLIDS,PINE / BIG BOW,0
CHRISTMAS SOLIDS,HUNTER / LITTLE BOW,0
CHRISTMAS SOLIDS,DEEP RED / BIG BOW,0
CHRISTMAS SOLIDS,ICICLE BLUE / LITTLE BOW,0
CHRISTMAS SOLIDS,DEEP RED / PIGGIE SET (2 MINI BOWS),0
CHRISTMAS SOLIDS,PINE / LITTLE BOW,0
CHRISTMAS SOLIDS,ICICLE BLUE / PIGGIE SET (2 MINI BOWS),0
CHRISTMAS SOLIDS,BLACK / LITTLE BOW,0
CHRISTMAS SOLIDS,SANTA SUIT RED / LITTLE BOW,0
CHRISTMAS SOLIDS,WHITE / BIG BOW,0
CHRISTMAS SPARKLE,LITTLE BOW,0
